标签,疾病名字,top3,top5,top8,top10,备注：该类别训练样本数
5003.0,膀胱子宫内膜异位症,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),2
5004.0,膀胱小肠瘘,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5005.0,膀胱息肉,0.0(0/23),0.0(0/23),0.0(0/23),0.0(0/23),1
5006.0,膀胱恶性肿瘤,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),318
5007.0,膀胱恶性肿瘤史,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
5008.0,膀胱憩室,0.4(14/35),0.4(14/35),0.4(14/35),0.4(14/35),3
5009.0,膀胱憩室结石,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
5010.0,膀胱挛缩,0.64(16/25),0.76(19/25),0.76(19/25),0.76(19/25),10
5011.0,膀胱松弛,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5012.0,膀胱梗阻,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),3
5013.0,膀胱炎,0.07(3/40),0.07(3/40),0.07(3/40),0.07(3/40),11
5014.0,膀胱炎性病变,0.21(7/33),0.21(7/33),0.21(7/33),0.21(7/33),6
5015.0,膀胱瘘,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
5016.0,膀胱瘢痕,0.2(5/25),0.2(5/25),0.2(5/25),0.2(5/25),6
5017.0,膀胱瘢痕狭窄,0.0(0/28),0.0(0/28),1.0(28/28),1.0(28/28),1
5018.0,膀胱白斑,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),1
5019.0,膀胱直肠瘘,0.21(6/28),0.21(6/28),0.67(19/28),0.67(19/28),3
5020.0,膀胱破裂,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),2
5021.0,膀胱粘膜不典型增生,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),2
5022.0,膀胱粘膜炎,0.17(5/28),0.17(5/28),0.17(5/28),0.17(5/28),6
5023.0,膀胱结石,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),152
5024.0,膀胱结肠瘘,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5025.0,膀胱继发恶性肿瘤,0.25(7/27),0.29(8/27),0.40(11/27),0.48(13/27),9
5026.0,膀胱肿物,0.0(0/25),0.04(1/25),0.04(1/25),0.12(3/25),170
5027.0,膀胱脓肿,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),1
5028.0,膀胱膨出,0.0(0/33),0.69(23/33),0.69(23/33),0.69(23/33),2
5029.0,膀胱良性肿瘤,0.04(1/23),0.26(6/23),0.26(6/23),0.56(13/23),15
5030.0,膀胱裂伤,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5031.0,膀胱输尿管反流,0.33(12/36),0.33(12/36),0.33(12/36),0.33(12/36),4
5032.0,膀胱过度活动症,0.62(17/27),0.77(21/27),0.77(21/27),0.81(22/27),34
5033.0,膀胱阴道瘘,0.21(9/42),0.21(9/42),0.21(9/42),0.21(9/42),6
5034.0,膀胱顶恶性肿瘤,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),26
5035.0,膀胱颈恶性肿瘤,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),30
5036.0,膀胱颈梗阻,0.47(16/34),0.47(16/34),0.5(17/34),0.5(17/34),125
5037.0,膀胱颈肿物,0.0(0/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5038.0,膈疝,0.25(8/32),0.25(8/32),0.25(8/32),0.25(8/32),4
5039.0,膈肌麻痹,0.54(17/31),0.74(23/31),0.74(23/31),1.0(31/31),5
5040.0,膈膨升,0.59(19/32),0.59(19/32),0.59(19/32),0.59(19/32),6
5041.0,膜性肾病,0.39(11/28),0.46(13/28),0.64(18/28),0.71(20/28),43
5042.0,膝先露,0.42(12/28),0.42(12/28),0.42(12/28),1.0(28/28),2
5043.0,膝关节僵硬,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
5044.0,膝关节内侧副韧带损伤,0.0(0/39),0.0(0/39),0.0(0/39),0.0(0/39),3
5045.0,膝关节内固定术后疼痛,0.75(21/28),0.75(21/28),0.75(21/28),0.92(26/28),6
5046.0,膝关节前十字韧带完全断裂,0.29(8/27),0.29(8/27),0.37(10/27),0.48(13/27),16
5047.0,膝关节前十字韧带扭伤,0.27(8/29),0.27(8/29),0.27(8/29),0.27(8/29),4
5048.0,膝关节前十字韧带损伤,0.4(10/25),0.4(10/25),0.6(15/25),0.64(16/25),104
5049.0,膝关节前十字韧带部分断裂,0.13(5/37),0.24(9/37),0.24(9/37),0.24(9/37),7
5050.0,膝关节十字韧带损伤,0.03(1/33),0.03(1/33),0.03(1/33),0.03(1/33),15
5051.0,膝关节十字韧带断裂,0.78(18/23),0.82(19/23),0.82(19/23),0.82(19/23),14
5052.0,膝关节后十字韧带完全断裂,0.75(21/28),0.75(21/28),0.75(21/28),0.75(21/28),3
5053.0,膝关节后十字韧带损伤,0.41(13/31),0.41(13/31),0.41(13/31),0.41(13/31),5
5054.0,膝关节囊肿,0.65(15/23),0.65(15/23),0.65(15/23),0.65(15/23),4
5055.0,膝关节多处损伤,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
5056.0,膝关节多处韧带损伤,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
5057.0,膝关节损伤,0.0(0/38),1.0(38/38),1.0(38/38),1.0(38/38),1
5058.0,膝关节游离体,0.18(5/27),0.33(9/27),0.59(16/27),0.70(19/27),40
5059.0,膝关节滑膜囊肿,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),6
5060.0,膝关节滑膜炎,0.71(20/28),0.71(20/28),1.0(28/28),1.0(28/28),5
5061.0,膝关节滑膜皱襞综合征,1.0(18/18),1.0(18/18),1.0(18/18),1.0(18/18),5
5062.0,膝关节痛,0.53(14/26),0.73(19/26),0.73(19/26),0.73(19/26),6
5063.0,膝关节粘连,0.0(0/28),0.0(0/28),0.0(0/28),0.0(0/28),2
5064.0,膝关节置换术后疼痛,0.48(12/25),0.52(13/25),0.56(14/25),0.6(15/25),16
5065.0,膝关节肿物,0.0(0/39),0.0(0/39),0.0(0/39),0.0(0/39),4
5066.0,膝关节脱位,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),1
5067.0,膝关节退行性病变,0.0(0/33),0.21(7/33),0.60(20/33),0.69(23/33),101
5068.0,膝内侧半月板伴副韧带损伤,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),2
5069.0,膝内侧半月板伴十字韧带损伤,0.16(5/30),0.16(5/30),0.3(9/30),0.33(10/30),15
5070.0,膝内侧半月板撕裂,0.0(0/39),0.0(0/39),0.0(0/39),0.05(2/39),17
5071.0,膝内侧半月板桶柄状撕裂,0.52(18/34),0.52(18/34),0.52(18/34),0.52(18/34),2
5072.0,膝半月板囊肿,0.68(22/32),0.68(22/32),0.68(22/32),0.96(31/32),5
5073.0,膝半月板撕裂,0.02(1/34),0.05(2/34),0.20(7/34),0.44(15/34),81
5074.0,膝外侧半月板伴十字韧带损伤,0.44(11/25),0.6(15/25),0.68(17/25),0.8(20/25),14
5075.0,膝外侧半月板囊肿,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5076.0,膝外侧半月板撕裂,0.65(17/26),0.88(23/26),0.88(23/26),0.88(23/26),27
5077.0,膝外侧半月板桶柄状撕裂,0.55(16/29),0.55(16/29),0.55(16/29),0.55(16/29),2
5078.0,膝滑囊炎,0.61(16/26),1.0(26/26),1.0(26/26),1.0(26/26),2
5079.0,膝部开放性损伤,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),1
5080.0,膝部血肿,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
5081.0,膝韧带囊肿,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),1
5082.0,膝骨关节病,0.95(19/20),0.95(19/20),0.95(19/20),0.95(19/20),31
5083.0,臀位,0.03(1/27),0.03(1/27),0.07(2/27),0.07(2/27),80
5084.0,臀位助产的单胎分娩,0.53(14/26),0.53(14/26),0.53(14/26),0.53(14/26),2
5085.0,臀位顺产,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),3
5086.0,臀先露引起的梗阻性分娩,0.0(0/40),0.0(0/40),0.0(0/40),0.0(0/40),22
5087.0,臀皮肤感染,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
5088.0,臀肌挛缩,0.0(0/29),0.0(0/29),0.10(3/29),0.13(4/29),12
5089.0,臀肌筋膜炎,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),2
5090.0,臀脓肿,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
5091.0,臀部周围神经和自主神经恶性肿瘤,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),1
5092.0,臀部开放性损伤,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
5093.0,臀部皮肤恶性肿瘤,0.65(21/32),0.65(21/32),0.65(21/32),0.65(21/32),2
5094.0,臀部窦道,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
5095.0,臀部良性肿瘤,0.58(14/24),0.58(14/24),0.58(14/24),0.58(14/24),12
5096.0,臂蜂窝织炎,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5097.0,自主性神经病性膀胱,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),1
5098.0,自主神经功能紊乱,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5099.0,自体外周血干细胞动员,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),255
5100.0,自体过敏性皮炎,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),12
5101.0,自体造血干细胞移植状态,0.65(19/29),0.65(19/29),0.79(23/29),0.79(23/29),8
5102.0,自发性低颅压综合征[原发性低颅压],1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5103.0,自发性张力性气胸,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5104.0,自发性气胸,0.53(15/28),0.57(16/28),0.57(16/28),0.57(16/28),274
5105.0,自发性瘀斑,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
5106.0,自发性肾破裂,0.0(0/35),0.0(0/35),0.42(15/35),0.42(15/35),2
5107.0,自然流产,0.13(4/29),0.17(5/29),0.24(7/29),0.31(9/29),20
5108.0,自然流产并发出血,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
5109.0,自身免疫性溶血性贫血,0.82(23/28),0.82(23/28),0.82(23/28),0.82(23/28),15
5110.0,自身免疫性甲状腺炎[桥本病],0.41(13/31),0.51(16/31),0.70(22/31),0.70(22/31),11
5111.0,自身免疫性肝炎,0.5(16/32),0.5(16/32),0.5(16/32),0.75(24/32),8
5112.0,自身免疫性肝硬化,0.43(14/32),0.43(14/32),0.59(19/32),0.59(19/32),14
5113.0,自身免疫性胰腺炎,0.82(19/23),0.82(19/23),0.91(21/23),0.91(21/23),15
5114.0,自身免疫病,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),3
5115.0,自身免疫相关性脑病,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5116.0,致心律失常性右室心肌病,0.64(22/34),0.64(22/34),0.64(22/34),0.64(22/34),3
5117.0,舌下囊肿,0.0(0/31),0.0(0/31),1.0(31/31),1.0(31/31),1
5118.0,舌下间隙感染,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
5119.0,舌咽神经良性肿瘤,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
5120.0,舌囊肿,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),2
5121.0,舌恶性肿瘤,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),2
5122.0,舌根恶性肿瘤,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5123.0,舌淋巴组织增生,0.35(11/31),0.35(11/31),0.35(11/31),0.35(11/31),4
5124.0,舌肿物,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
5125.0,舌良性肿瘤,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5126.0,舌部血管瘤,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
5127.0,舌鳞状上皮增生,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),2
5128.0,舒乐安定中毒,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),4
5129.0,良性特发性震颤,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),3
5130.0,良性阵发性位置性眩晕,0.03(1/32),0.06(2/32),0.06(2/32),0.12(4/32),320
5131.0,色素痣,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),16
5132.0,艾滋病[获得性免疫缺陷综合征],0.83(26/31),0.83(26/31),0.83(26/31),0.83(26/31),10
5133.0,艾滋病伴卡氏肺孢子虫肺炎,0.37(14/37),0.37(14/37),0.37(14/37),0.37(14/37),14
5134.0,艾迪生病[Addisons病],1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),3
5135.0,节段性血管瘤病,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),1
5136.0,苗勒管囊肿,0.0(0/23),0.0(0/23),0.0(0/23),1.0(23/23),1
5137.0,苯中毒,0.92(23/25),0.92(23/25),0.92(23/25),0.92(23/25),216
5138.0,苯妥英钠中毒,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5139.0,苯巴比妥中毒,0.0(0/31),0.0(0/31),1.0(31/31),1.0(31/31),2
5140.0,草莓状胆囊,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),1
5141.0,荨麻疹,0.38(13/34),0.38(13/34),0.44(15/34),0.44(15/34),23
5142.0,荨麻疹型药疹,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),24
5143.0,荨麻疹性血管炎,0.54(19/35),1.0(35/35),1.0(35/35),1.0(35/35),2
5144.0,药物中毒,0.11(4/35),0.11(4/35),0.11(4/35),0.11(4/35),22
5145.0,药物性中性粒细胞减少症,0.0(0/28),0.0(0/28),0.0(0/28),0.0(0/28),10
5146.0,药物性低血压,0.0(0/37),0.0(0/37),1.0(37/37),1.0(37/37),1
5147.0,药物性低血糖,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
5148.0,药物性发热,0.91(22/24),1.0(24/24),1.0(24/24),1.0(24/24),4
5149.0,药物性周围神经病,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5150.0,药物性急性肝衰竭,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),2
5151.0,药物性支气管哮喘,0.52(19/36),0.52(19/36),0.52(19/36),0.52(19/36),4
5152.0,药物性白内障,0.0(0/27),0.22(6/27),0.59(16/27),0.59(16/27),5
5153.0,药物性皮炎[药疹],0.0(0/37),0.0(0/37),0.05(2/37),0.05(2/37),150
5154.0,药物性继发性铁粒幼细胞贫血,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5155.0,药物性肝损害,0.06(2/31),0.09(3/31),0.09(3/31),0.09(3/31),68
5156.0,药物性肝炎,0.30(10/33),0.30(10/33),0.30(10/33),0.48(16/33),5
5157.0,药物性肝炎伴胆汁淤积,0.51(19/37),0.51(19/37),0.51(19/37),0.51(19/37),2
5158.0,药物性肠炎,0.57(23/40),0.57(23/40),0.7(28/40),0.7(28/40),7
5159.0,药物性肺疾病,0.51(15/29),0.79(23/29),0.79(23/29),0.79(23/29),4
5160.0,药物性血小板减少,0.46(14/30),1.0(30/30),1.0(30/30),1.0(30/30),2
5161.0,药物性血管炎,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
5162.0,药物性震颤,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5163.0,药物性骨髓抑制,0.05(2/39),0.05(2/39),0.07(3/39),0.07(3/39),59
5164.0,药物性鼻炎,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
5165.0,药物接触性皮炎,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5166.0,药物流产失败,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),7
5167.0,药物流产术后,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),3
5168.0,药物诱导性肌病,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5169.0,药物超敏综合征,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),2
5170.0,药物过敏反应,0.24(9/37),0.24(9/37),0.24(9/37),0.24(9/37),4
5171.0,菌斑性龈炎,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),1
5172.0,菌血症,0.26(7/26),0.34(9/26),0.5(13/26),0.57(15/26),42
5173.0,营养不良,0.5(19/38),0.5(19/38),0.5(19/38),0.5(19/38),4
5174.0,营养性大细胞性贫血,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
5175.0,营养性巨幼红细胞性贫血,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5176.0,营养性贫血,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),2
5177.0,葡萄球菌性肺炎,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),6
5178.0,葡萄胎,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),25
5179.0,葡萄胎后宫内残留,0.0(0/28),0.17(5/28),0.17(5/28),0.17(5/28),6
5180.0,葡萄膜炎[色素膜炎],0.24(6/25),0.28(7/25),0.44(11/25),0.48(12/25),36
5181.0,藏毛囊肿,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),25
5182.0,藏毛性窦道,0.76(19/25),0.8(20/25),0.96(24/25),0.96(24/25),19
5183.0,蘑菇类中毒,1.0(38/38),1.0(38/38),1.0(38/38),1.0(38/38),4
5184.0,虹膜新生血管形成,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),8
5185.0,虹膜炎,0.0(0/44),0.0(0/44),0.0(0/44),0.0(0/44),1
5186.0,虹膜睫状体炎,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5187.0,虹膜缺损,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),1
5188.0,蛋白尿,0.02(1/35),0.02(1/35),0.02(1/35),0.02(1/35),70
5189.0,蛋白质丢失性肠病,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5190.0,蛛网膜下腔出血,0.06(2/29),0.06(2/29),0.06(2/29),0.06(2/29),128
5191.0,蛛网膜下腔出血后脑积水,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5192.0,蛛网膜下腔出血后遗症,0.62(17/27),0.62(17/27),0.62(17/27),0.62(17/27),2
5193.0,蛛网膜下腔出血恢复期,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),14
5194.0,蛛网膜囊肿,0.48(14/29),0.48(14/29),0.48(14/29),0.48(14/29),2
5195.0,蛛网膜炎,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),3
5196.0,蜂窝织炎,0.68(24/35),0.68(24/35),0.68(24/35),0.68(24/35),11
5197.0,蜂螫伤,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5198.0,蝶窦囊肿,0.73(14/19),0.73(14/19),0.94(18/19),1.0(19/19),11
5199.0,蝶窦炎,0.57(16/28),0.75(21/28),0.75(21/28),0.75(21/28),4
5200.0,蝶窦肿物,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5201.0,蝶窦脓肿,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5202.0,蝶鞍旁良性肿瘤,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),2
5203.0,蝶骨嵴脑膜瘤,0.71(20/28),0.71(20/28),0.71(20/28),0.71(20/28),4
5204.0,血压值上升,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
5205.0,血吸虫性肝硬化,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
5206.0,血吸虫病,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),1
5207.0,血小板减少,0.52(12/23),0.52(12/23),0.65(15/23),0.65(15/23),32
5208.0,血小板减少性紫癜,0.68(22/32),0.68(22/32),0.81(26/32),0.81(26/32),5
5209.0,血小板增多,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),4
5210.0,血尿,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),61
5211.0,血性胸水,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),3
5212.0,血性腹水,0.46(15/32),0.46(15/32),0.46(15/32),0.46(15/32),2
5213.0,血栓性外痔,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
5214.0,血栓性血小板减少性紫癜,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5215.0,血栓性静脉炎,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5216.0,血栓闭塞性脉管炎[Buerger病],0.51(15/29),0.51(15/29),0.58(17/29),0.58(17/29),7
5217.0,血气胸,0.56(17/30),0.7(21/30),0.73(22/30),0.73(22/30),10
5218.0,血淀粉酶增高,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),2
5219.0,血清免疫学异常,0.22(8/36),0.22(8/36),0.22(8/36),0.22(8/36),3
5220.0,血清反应阴性的类风湿性关节炎,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
5221.0,血清性关节病,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5222.0,血清肌酶异常,1.0(40/40),1.0(40/40),1.0(40/40),1.0(40/40),1
5223.0,血管交界性肿瘤,0.0(0/39),0.0(0/39),0.0(0/39),1.0(39/39),1
5224.0,血管假体装置植入物和移植物的并发症,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
5225.0,血管免疫母细胞T细胞淋巴瘤,0.85(29/34),0.85(29/34),0.85(29/34),0.85(29/34),4
5226.0,血管导管相关性感染,1.0(38/38),1.0(38/38),1.0(38/38),1.0(38/38),1
5227.0,血管性头痛,0.66(22/33),0.72(24/33),0.84(28/33),0.84(28/33),16
5228.0,血管性帕金森综合征,0.47(16/34),0.47(16/34),0.64(22/34),0.76(26/34),7
5229.0,血管性痴呆,0.36(13/36),0.36(13/36),0.36(13/36),0.36(13/36),2
5230.0,血管性认知功能障碍,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
5231.0,血管抑制性晕厥,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),2
5232.0,血管源性耳鸣,0.0(0/39),0.0(0/39),0.30(12/39),0.30(12/39),3
5233.0,血管炎[脉管炎],1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),3
5234.0,血管球瘤,1.0(39/39),1.0(39/39),1.0(39/39),1.0(39/39),1
5235.0,血管瘤,0.12(4/32),0.21(7/32),0.21(7/32),0.21(7/32),12
5236.0,血管神经性水肿,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
5237.0,血管迷走性晕厥,0.2(7/35),0.22(8/35),0.31(11/35),0.31(11/35),25
5238.0,血管迷走性晕厥(心脏抑制型),1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
5239.0,血管迷走性晕厥(混合型),0.62(18/29),0.62(18/29),0.65(19/29),0.72(21/29),16
5240.0,血管迷走性晕厥(血管型),0.96(27/28),0.96(27/28),0.96(27/28),0.96(27/28),6
5241.0,血精,0.16(4/25),0.52(13/25),0.64(16/25),0.68(17/25),26
5242.0,血糖升高,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),4
5243.0,血红蛋白增高,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
5244.0,血脂异常,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),3
5245.0,行为异常,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
5246.0,行走困难,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5247.0,衣原体性肺炎,0.48(17/35),1.0(35/35),1.0(35/35),1.0(35/35),2
5248.0,衣原体感染,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5249.0,表皮囊肿,0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),191
5250.0,视物变形,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),2
5251.0,视盘血管炎[视神经乳头静脉炎],1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
5252.0,视神经乳头炎,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
5253.0,视神经损伤,0.20(6/29),0.41(12/29),0.41(12/29),0.41(12/29),4
5254.0,视神经炎,0.36(8/22),0.72(16/22),0.95(21/22),1.0(22/22),15
5255.0,视神经病,0.0(0/28),0.0(0/28),0.0(0/28),0.0(0/28),3
5256.0,视神经脊髓炎[德维克病],0.90(29/32),0.90(29/32),0.90(29/32),0.90(29/32),7
5257.0,视神经脊髓炎谱系疾病,0.86(26/30),0.86(26/30),0.86(26/30),0.86(26/30),8
5258.0,视神经萎缩,0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),2
5259.0,视神经视网膜炎,0.42(11/26),0.42(11/26),0.42(11/26),0.42(11/26),2
5260.0,视网膜中央动脉阻塞,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),7
5261.0,视网膜中央静脉阻塞,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),15
5262.0,视网膜出血,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5263.0,视网膜分支动脉阻塞,0.0(0/27),0.0(0/27),0.0(0/27),0.11(3/27),8
5264.0,视网膜分支静脉阻塞,0.0(0/28),0.0(0/28),0.21(6/28),0.21(6/28),24
5265.0,视网膜前膜,0.0(0/28),0.0(0/28),0.60(17/28),0.60(17/28),5
5266.0,视网膜劈裂症,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
5267.0,视网膜动脉供血不足,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),1
5268.0,视网膜炎,0.54(18/33),0.54(18/33),0.54(18/33),0.54(18/33),3
5269.0,视网膜病,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
5270.0,视网膜脱离,0.0(0/27),0.14(4/27),0.25(7/27),0.25(7/27),32
5271.0,视网膜脱离术后未复位,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),3
5272.0,视网膜良性肿瘤,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
5273.0,视网膜血管炎,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),3
5274.0,视网膜血管瘤病[VonHippel-Lindau综合征],0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
5275.0,视网膜血管阻塞,0.51(17/33),0.51(17/33),0.51(17/33),0.51(17/33),2
5276.0,视网膜部分静脉阻塞,0.0(0/25),1.0(25/25),1.0(25/25),1.0(25/25),3
5277.0,视网膜静脉周围炎[Eales病],1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
5278.0,视觉模糊,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
5279.0,视野缺损,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
5280.0,角化棘皮瘤,0.24(7/29),0.48(14/29),0.48(14/29),0.48(14/29),3
5281.0,角化病,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),7
5282.0,角膜上皮损伤,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
5283.0,角膜变性,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
